client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
2e91cfe49ad614bb54a09627591b50310922c26fa23d3101ca1feb4d3c35bd6cd90e72a0315f02f1a5d0f430aa28f7d95cd50b8213164fc1133621aa4ccd59f1	common_voice_hy-AM_26061317.mp3	Այդ ժամանակահատվածում էլ հենց գրվել են նրա հիմնական ստեղծագործությունները։	1	1				hy-AM	
a6a8de5f1fdab0c4405a1f4e8b2c3be3b371ac86ce2b03b0b7edc0a28e67c2439969b3a1de37002e7c38b2e207a1abecffb4ace81e8322c42de4faa271d17e7d	common_voice_hy-AM_26072967.mp3	Նա հոգեբանի և գրողի ընտանիքի միակ երեխան էր։	1	0				hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26079006.mp3	Ճակատային պատերի համար օգտագործված են կոպտատաշ, իսկ թաղի համար՝ սրբատաշ քարեր։	1	0	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26079239.mp3	«Աստվածածնա պարը» դանդաղ, հանդիսավոր պար է։	1	0	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26079425.mp3	Հետաքրքրասեր է. վտանգի պահին թաքստոցից դուրս է նետվում՝ հեռացնելու թշնամիներին։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26185102.mp3	Ակումբի հիմնադրման հստակ տարեթիվը հայտնի չէ։	1	0				hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26185157.mp3	Լինում են նաև եկեղեցու անունը կրող սրբի պատկերով խաչվառներ։	1	0				hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26185169.mp3	Մայիսից մինչև նոյեմբեր շարունակվում է անձրևների սեզոնը։	0	0				hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26185170.mp3	Նրա անձնական կյանքի վերաբերյալ տեղեկություններ բավականին քիչ են պահպանվել։	1	1				hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26185174.mp3	Եվ մայրը, և հայրը ոստիկանության աշխատակիցներ էին։	1	0				hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26185209.mp3	Խաղալով կատուն և երեխաները իրերը վերադարձնում են իրենց տեղը։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253024.mp3	Նրանք իրենց օրերն անցկացնում են ծաղկած այգում և դառնում անբաժան ընկերներ։	1	0	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253039.mp3	Հազվադեպ է գործածվել, այնուհետև ընդհանրապես դուրս է եկել գործածությունից։	1	0	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253056.mp3	Իսկ արևելյան պատին հայտնվել է առյուծներով ծեփածո հերալդիկ վահանը։	0	0	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253070.mp3	Թողարկվել են հուշադրամներ թանկարժեք ու ոչ թանկարժեք մետաղներից։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253080.mp3	Հինգ տարեկանում նա սկսել է դաշնամուր նվագել՝ ռադիոյով երաժշտություն լսելով։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253100.mp3	Բարիկադների վրա կռվում էին նաև կանայք ու երեխաներ։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253105.mp3	Սրանից հետո նա մեծ արագությամբ կառուցեց իր կարիերան։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26253107.mp3	Դրանք օպտիկապես ակտիվ միացություններ են։	0	1	thirties	female		hy-AM	
28de0109a7cb8b421e1b1f99d7ca53c08fab2ba0d7e742273a2699601393e4e8d4e7253e3fc58b16043531aee8bb3b466f21ca5c5694a1f58aa84515c765a072	common_voice_hy-AM_26256550.mp3	Ջորջը երկու ավագ եղբայր և մի փոքր քույր է ունեցել։	1	0	fifties	female		hy-AM	
28de0109a7cb8b421e1b1f99d7ca53c08fab2ba0d7e742273a2699601393e4e8d4e7253e3fc58b16043531aee8bb3b466f21ca5c5694a1f58aa84515c765a072	common_voice_hy-AM_26256740.mp3	Ամեն մակընթացության ժամանակ նա թեթևակի ընկղմվում է ջրի մեջ։	1	1	fifties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26423578.mp3	Թեմայով և կատարմամբ այն նկարչի լավագույն գործերից է։	1	1	thirties	female		hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26423627.mp3	Հոգաբարձուների խորհրդի լիազորությունների ժամկետը երկու տարի է։	0	1	thirties	female		hy-AM	
